,doc,sentence,statement,ARG0_highdim,ARG0_lowdim,B-V_highdim,B-V_lowdim,B-ARGM-NEG_highdim,B-ARGM-NEG_lowdim,B-ARGM-MOD_highdim,ARG1_highdim,ARG1_lowdim,ARG2_highdim,ARG2_lowdim,B-V_lowdim_with_neg,B-V_highdim_with_neg,narrative_highdim,narrative_lowdim
112842,1018074723140427776,53568,112842,fbi,fbi,inform,inform,,,,president obama,obama,,,not_inform,not_inform,fbi not_inform president obama,fbi not_inform obama
112855,1018070907741523968,53573,112855,fbi,fbi,inform,inform,,,,president obama,obama,,,not_inform,not_inform,fbi not_inform president obama,fbi not_inform obama
112860,1018069319702458368,53575,112860,government,government,,,,,,bad trade deal condition,care,,,not_,not_,government not_ bad trade deal condition,government not_ care
112874,1017650505043140609,53583,112874,strong crime border illegal immigration nd amendment great military amp vet matt,military,work,work,,,,help massive tax cut,money,,,not_work,not_work,strong crime border illegal immigration nd amendment great military amp vet matt not_work help massive tax cut,military not_work money
112875,1017650505043140609,53583,112875,matt,john,help,help,,,,massive tax cut,tax,,,not_help,not_help,matt not_help massive tax cut,john not_help tax
112876,1017650505043140609,53583,112876,matt,john,,,,,,massive tax cut,tax,,,not_,not_,matt not_ massive tax cut,john not_ tax
112879,1017466758280679425,53586,112879,member,government,paid,pay,,,,billion additional dollar,money,,,not_pay,not_paid,member not_paid billion additional dollar,government not_paid money
112893,1017290478839050240,53597,112893,germany,world,start,start,,,,pay russia country want protection billion dollar energy need come new pipeline russia,country,,,not_start,not_start,germany not_start pay russia country want protection billion dollar energy need come new pipeline russia,world not_start country
112894,1017290478839050240,53597,112894,germany,world,pay,pay,,,,country want protection billion dollar energy need come new pipeline russia,country,russia,russia,not_pay,not_pay,germany not_pay country want protection billion dollar energy need come new pipeline russia,world not_pay country
112899,1017290478839050240,53599,112899,nato nation,nato,meet,play,,,,commitment,careful,,,not_play,not_meet,nato nation not_meet commitment,nato not_meet careful
112904,1017288317342224384,53600,112904,president,president,try,try,,,,germany rich nato nation pay protection russia,nato,,,not_try,not_try,president not_try germany rich nato nation pay protection russia,president not_try nato
112905,1017288317342224384,53600,112905,president,president,,,,,,germany rich nato nation pay protection russia,nato,,,not_,not_,president not_ germany rich nato nation pay protection russia,president not_ nato
112914,1017286281867481089,53603,112914,fbi lover agent lisa page,fbi,dodge,dodge,,,,subpoena amp,case,,,not_dodge,not_dodge,fbi lover agent lisa page not_dodge subpoena amp,fbi not_dodge case
112916,1017286281867481089,53603,112916,fbi lover agent lisa page,fbi,refuse,refuse,,,,testify,case,,,not_refuse,not_refuse,fbi lover agent lisa page not_refuse testify,fbi not_refuse case
112932,1017178539706212353,53612,112932,fbi agent lover peter strzok,fbi,proceed,continue,,,,rig witch hunt,witch hunt,,,not_continue,not_proceed,fbi agent lover peter strzok not_proceed rig witch hunt,fbi not_proceed witch hunt
112941,1017164990099415041,53614,112941,ex fbi layer lisa page,fbi,defy,refuse,,,,house representative issue subpoena testify congress,house,,,not_refuse,not_defy,ex fbi layer lisa page not_defy house representative issue subpoena testify congress,fbi not_defy house
112942,1017164990099415041,53614,112942,house representative,house,issue,release,,,,subpoena,case,,,not_release,not_issue,house representative not_issue subpoena,house not_issue case
112946,1017153813625626624,53617,112946,democrat,democrat,want,want,,,,win supreme court court pick,win,,,not_want,not_want,democrat not_want win supreme court court pick,democrat not_want win
112947,1017153813625626624,53617,112947,democrat,democrat,win,win,,,,supreme court court pick,supreme court,,,not_win,not_win,democrat not_win supreme court court pick,democrat not_win supreme court
112952,1017093020783710209,53618,112952,germany,world,pay,pay,,,,billion dollar,million,russia,russia,not_pay,not_pay,germany not_pay billion dollar,world not_pay million
112955,1017093020783710209,53619,112955,country,country,met,play,,,,commitment,careful,,,not_play,not_met,country not_met commitment,country not_met careful
112963,1017088833890942981,53622,112963,germany,world,pay,pay,,,,billion dollar,million,russia,russia,not_pay,not_pay,germany not_pay billion dollar,world not_pay million
112966,1017088833890942981,53623,112966,country,country,met,play,,,,commitment,careful,,,not_play,not_met,country not_met commitment,country not_met careful
112973,1017086416176730112,53626,112973,democrat congress,congress,fix,set,,,,terrible immigration law,law,,,not_set,not_fix,democrat congress not_fix terrible immigration law,congress not_fix law
112981,1017086416176730112,53628,112981,judge,case,run,work,,,,system,system,,,not_work,not_run,judge not_run system,case not_run system
112982,1017086416176730112,53628,112982,illegals trafficker,illegal immigrant,know,know,,,,work,people,,,not_know,not_know,illegals trafficker not_know work,illegal immigrant not_know people
112996,1017025845905494016,53635,112996,country,country,trade,sell,,,,barrier tariff,swamp,,,not_sell,not_trade,country not_trade barrier tariff,country not_trade swamp
112999,1017025845905494016,53635,112999,country trade barrier tariff,country,destroy,destroy,,,,business,business,,,not_destroy,not_destroy,country trade barrier tariff not_destroy business,country not_destroy business
113005,1016813686051233800,53639,113005,pfizer,company,roll,cast,,,,price hike,interest,,,not_cast,not_roll,pfizer not_roll price hike,company not_roll interest
113012,1016757033071079424,53642,113012,european union,world,,,,,,impossible farmer worker company business europe billion trade deficit,people,,,not_,not_,european union not_ impossible farmer worker company business europe billion trade deficit,world not_ people
113013,1016757033071079424,53642,113013,farmer worker company,politician,,,,,,business,business,,,not_,not_,farmer worker company not_ business,politician not_ business
113021,1016754517415624704,53644,113021,american especially hispanic,american,feel,find,,,,president trump president obama,trump,,,not_find,not_feel,american especially hispanic not_feel president trump president obama,american not_feel trump
113040,1016693575344504832,53648,113040,fbi lover peter strzok lisa page,fbi,,,,,,cold foot,wall,,,not_,not_,fbi lover peter strzok lisa page not_ cold foot,fbi not_ wall
113042,1016693575344504832,53648,113042,angry democrat people work obama year,obama,head,lead,,,,rig witch hunt,witch hunt,,,not_lead,not_head,angry democrat people work obama year not_head rig witch hunt,obama not_head witch hunt
113050,1016638035281219584,53653,113050,country,country,want,want,,,,fix crazy trade deal,thing,,,not_want,not_want,country not_want fix crazy trade deal,country not_want thing
113051,1016638035281219584,53653,113051,country,country,fix,set,,,,crazy trade deal,thing,,,not_set,not_fix,country not_fix crazy trade deal,country not_fix thing
113055,1016638035281219584,53656,113055,new poll,election,,,,,,trump popular republican history party,republican party,,,not_,not_,new poll not_ trump popular republican history party,election not_ republican party
113096,1016367395294908421,53674,113096,woman,family,need,want,,,,option,tax,,,not_want,not_need,woman not_need option,family not_need tax
113099,1016327387154395138,53675,113099,kim jong un,president,honor,honor,,,,contract sign amp importantly handshake,clue,,,not_honor,not_honor,kim jong un not_honor contract sign amp importantly handshake,president not_honor clue
113104,1016327387154395138,53677,113104,china,china,exert,maintain,,,,negative pressure,problem,deal,deal,not_maintain,not_exert,china not_exert negative pressure,china not_exert problem
113108,1016294574417956869,53678,113108,president,president,,,,,,important decision,important,,,not_,not_,president not_ important decision,president not_ important
113116,1016291887957848066,53682,113116,european union,world,,,,,,trade surplus million,interest,,,not_,not_,european union not_ trade surplus million,world not_ interest
113124,1016289620596789248,53686,113124,country,country,increase,increase,,,,contribution,honor,,,not_increase,not_increase,country not_increase contribution,country not_increase honor
113145,1015723140364865536,53695,113145,fbi lover boy peter,fbi,head,lead,,,,rig witch hunt,witch hunt,,,not_lead,not_head,fbi lover boy peter not_head rig witch hunt,fbi not_head witch hunt
113147,1015723140364865536,53695,113147,rig witch hunt originally head fbi lover boy peter year amp angry democrat,witch hunt,look,look,,,,miss dnc server,dnc,,,not_look,not_look,rig witch hunt originally head fbi lover boy peter year amp angry democrat not_look miss dnc server,witch hunt not_look dnc
113149,1015723140364865536,53695,113149,crooked hillary,crooked hillary,delete,cancel,,,,email,twitter,,,not_cancel,not_delete,crooked hillary not_delete email,crooked hillary not_delete twitter
113159,1015697664514674689,53700,113159,public,government,understands,read,,,,collusion russia ridiculous fbi lover fraud nation amp collusion dems,fbi,,,not_read,not_understands,public not_understands collusion russia ridiculous fbi lover fraud nation amp collusion dems,government not_understands fbi
113169,1015694335151656961,53703,113169,public,government,understands,read,,,,collusion russia ridiculous fbi lover fraud nation amp collusion dems,fbi,,,not_read,not_understands,public not_understands collusion russia ridiculous fbi lover fraud nation amp collusion dems,government not_understands fbi
113187,1015278594795417600,53707,113187,dnc,dnc,file,charge,,,,lawsuit,case,,,not_charge,not_file,dnc not_file lawsuit,dnc not_file case
113188,1015278594795417600,53707,113188,bunch democrat crazy,democrat,try,try,,,,claim trump campaign collude russia,russia,,,not_try,not_try,bunch democrat crazy not_try claim trump campaign collude russia,democrat not_try russia
113189,1015278594795417600,53707,113189,bunch democrat crazy,democrat,claim,claim,,,,trump campaign collude russia,russia,,,not_claim,not_claim,bunch democrat crazy not_claim trump campaign collude russia,democrat not_claim russia
113190,1015278594795417600,53707,113190,trump campaign,trump,collude,collude,,,,russia,russia,,,not_collude,not_collude,trump campaign not_collude russia,trump not_collude russia
113202,1015037322226642944,53712,113202,brave men woman ice,global warm,liberate,release,,,,community,city,savage gang like,hell,not_release,not_liberate,brave men woman ice not_liberate community,global warm not_liberate city
113214,1015033658548207616,53716,113214,democrat,democrat,want,want,,,,anarchy amnesty,disgrace,,,not_want,not_want,democrat not_want anarchy amnesty,democrat not_want disgrace
